Number, Name,     Equatorial diameter , Mass ,	Orbital period , Rotation period
1,      Mercury,	0.382,	             0.06,	0.24             58.64
2,      Venus,    0.949,	             0.82,	0.62             −243.02
3,      Earth ,    1.00,	             1.00,	1.00             1.00
4,      Mars,     0.532,               0.11,	1.88             1.03
5,      Jupiter,  11.209,	             317.8,	11.86            0.41
6,      Saturn,   9.449,               95.2,  29.46            0.43
7,      Uranus,   4.007,               14.6,  84.01            −0.72
8,      Neptune,  3.883,               17.2,  164.8            0.67	


